event_id,station_id,sensor,fault_type,start_timestamp,end_timestamp,start_idx,end_idx,magnitude,seed
FAULT_0C3AFA91,Pashan AWS,temperature,DROPOUT,2024-05-15 00:35:00,2024-05-15 01:30:00,5191,5203,-0.0,42
FAULT_D69847DC,Pashan AWS,humidity,DRIFT,2024-05-12 08:50:00,2024-05-12 11:35:00,4426,4460,-53.210873787677755,42
FAULT_E65B7B08,Shivajinagar AWS,humidity,DROPOUT,2024-05-15 23:35:00,2024-05-16 00:05:00,7476,7483,0.0,42
FAULT_8071D8E6,Pashan AWS,pressure,MULTIVARIATE_INCONSISTENCY,2024-05-15 10:35:00,2024-05-15 10:40:00,5311,5313,-9.652657948223785,42
FAULT_DC4A477D,Shivajinagar AWS,pressure,DROPOUT,2024-05-12 05:00:00,2024-05-12 05:30:00,6396,6403,-0.0,42
FAULT_705C634C,Lavale AWS,humidity,FROZEN,2024-05-11 02:35:00,2024-05-11 03:45:00,2047,2062,0.0,42
FAULT_2EF707EB,CWPRS campus,pressure,MULTIVARIATE_INCONSISTENCY,2024-05-17 14:15:00,2024-05-17 14:25:00,1899,1902,6.871411210088904,42
FAULT_80B4D514,Lavale AWS,humidity,SPIKE,2024-05-17 12:10:00,2024-05-17 12:10:00,3890,3891,-100.84575514696176,42
FAULT_D8B4C30D,CWPRS campus,temperature,DRIFT,2024-05-11 20:05:00,2024-05-11 22:05:00,241,266,15.966215231240279,42
FAULT_B7873CA3,Shivajinagar AWS,pressure,ABRUPT_JUMP,2024-05-11 15:35:00,2024-05-11 18:05:00,6235,6266,-8.379939647060503,42
FAULT_92DB03BA,Lavale AWS,temperature,DROPOUT,2024-05-17 22:30:00,2024-05-17 23:10:00,4014,4023,-0.0,42
FAULT_2EC21070,Shivajinagar AWS,pressure,DROPOUT,2024-05-16 06:10:00,2024-05-16 06:50:00,7555,7564,0.0,42
FAULT_AC76CA5B,Shivajinagar AWS,pressure,MULTIVARIATE_INCONSISTENCY,2024-05-17 18:20:00,2024-05-17 18:35:00,7989,7993,4.061396246389161,42
FAULT_8ACF74A3,CWPRS campus,pressure,DRIFT,2024-05-17 21:05:00,2024-05-17 22:45:00,1981,2002,-9.271220831252762,42
