statistical_anomaly_score,isolation_forest_raw,isolation_forest_norm,autoencoder_raw,autoencoder_norm,temporal_score,cross_sensor_score,hybrid_score,evidence_strength,evidence_reasons
0.0025,-0.03243409474481085,0.4055784298342371,0.14036226,0.3955709,0.0,0.0,0.3197089809585185,LOW,[]
0.0039,-0.029779307801258814,0.42764511907887065,0.15312125,0.43331206,0.0,0.0,0.34533956494805695,LOW,[]
0.0,-0.030353595828392033,0.42287161532843154,0.16083542,0.4561306,0.0,0.0,0.35492678160609015,LOW,[]
0.086,-0.01814139235277873,0.5243799114058681,0.12233547,0.34224758,0.0,0.0,0.33703776118249495,LOW,[]
0.1581,-0.00854804625532668,0.6041201661418857,0.15045467,0.42542428,1.0,0.0,0.45975818873378577,MEDIUM,"[""Isolation Forest identifies significant spatial anomaly."", ""Abrupt temporal deviation from rolling baseline.""]"
0.033,-0.0018950092436000876,0.6594204608142663,0.14424384,0.4070526,0.0,0.0,0.4046524414163914,MEDIUM,"[""Isolation Forest identifies significant spatial anomaly.""]"
0.0068,-0.02213298758373078,0.49120162123621336,0.14775355,0.41743436,0.0,0.0,0.3567576686494971,LOW,[]
0.1193,-0.028110139959888147,0.4415193051570125,0.13743502,0.38691208,0.0,0.0,0.3378418303797682,LOW,[]
0.2063,-0.014047931249061785,0.5584049145535251,0.14246589,0.40179342,1.0,0.0,0.43904818452345196,MEDIUM,"[""Abrupt temporal deviation from rolling baseline.""]"
0.0068,-0.012624891442070574,0.5702332751230568,0.12885106,0.3615207,0.0,0.0,0.3525103363405517,LOW,[]
0.0,-0.013726304956020285,0.5610782844368176,0.13068344,0.3669409,0.0,0.0,0.35179392822216615,LOW,[]
0.25,-0.026204854137111377,0.4573561128057529,0.13492332,0.37948248,1.0,0.0,0.4019480727934089,MEDIUM,"[""Abrupt temporal deviation from rolling baseline.""]"
0.1032,-0.03679834002943155,0.36930265835773973,0.124615304,0.34899133,0.0,0.0,0.2956064647264839,LOW,[]
0.0706,-0.029569900961520124,0.4293857166320708,0.118379824,0.33054674,0.0,0.0,0.3011490833482333,LOW,[]
0.1572,-0.02265125510467314,0.4868937620469859,0.110640526,0.30765384,1.0,0.0,0.36561505079236417,LOW,"[""Abrupt temporal deviation from rolling baseline.""]"
0.1165,-0.022830082725413536,0.4854073401159078,0.08162038,0.2218121,0.0,0.0,0.2681782516439566,LOW,[]
0.0308,-0.02721253312186661,0.4489802470629486,0.07954692,0.2156788,0.0,0.0,0.24561347220495558,LOW,[]
