station_id,latitude,longitude,original_time,timestamp,year,month,day,hour,day_of_year,temperature
CWPRS campus,18.446944,73.785,11-05-2024 00:00,2024-05-11 00:00:00,2024,5,11,0,132,24.9
CWPRS campus,18.446944,73.785,11-05-2024 00:05,2024-05-11 00:05:00,2024,5,11,0,132,24.9
CWPRS campus,18.446944,73.785,11-05-2024 00:10,2024-05-11 00:10:00,2024,5,11,0,132,24.8
CWPRS campus,18.446944,73.785,11-05-2024 00:15,2024-05-11 00:15:00,2024,5,11,0,132,24.9
CWPRS campus,18.446944,73.785,11-05-2024 00:20,2024-05-11 00:20:00,2024,5,11,0,132,25.0
CWPRS campus,18.446944,73.785,11-05-2024 00:25,2024-05-11 00:25:00,2024,5,11,0,132,24.9
CWPRS campus,18.446944,73.785,11-05-2024 00:30,2024-05-11 00:30:00,2024,5,11,0,132,24.8
CWPRS campus,18.446944,73.785,11-05-2024 00:35,2024-05-11 00:35:00,2024,5,11,0,132,24.9
CWPRS campus,18.446944,73.785,11-05-2024 00:40,2024-05-11 00:40:00,2024,5,11,0,132,24.9
CWPRS campus,18.446944,73.785,11-05-2024 00:45,2024-05-11 00:45:00,2024,5,11,0,132,24.8
CWPRS campus,18.446944,73.785,11-05-2024 00:50,2024-05-11 00:50:00,2024,5,11,0,132,24.8
CWPRS campus,18.446944,73.785,11-05-2024 00:55,2024-05-11 00:55:00,2024,5,11,0,132,24.6
CWPRS campus,18.446944,73.785,11-05-2024 01:00,2024-05-11 01:00:00,2024,5,11,1,132,24.5
CWPRS campus,18.446944,73.785,11-05-2024 01:05,2024-05-11 01:05:00,2024,5,11,1,132,24.5
CWPRS campus,18.446944,73.785,11-05-2024 01:10,2024-05-11 01:10:00,2024,5,11,1,132,24.1
CWPRS campus,18.446944,73.785,11-05-2024 01:15,2024-05-11 01:15:00,2024,5,11,1,132,23.8
CWPRS campus,18.446944,73.785,11-05-2024 01:20,2024-05-11 01:20:00,2024,5,11,1,132,23.7
CWPRS campus,18.446944,73.785,11-05-2024 01:25,2024-05-11 01:25:00,2024,5,11,1,132,23.5
CWPRS campus,18.446944,73.785,11-05-2024 01:30,2024-05-11 01:30:00,2024,5,11,1,132,23.6
CWPRS campus,18.446944,73.785,11-05-2024 01:35,2024-05-11 01:35:00,2024,5,11,1,132,23.4
CWPRS campus,18.446944,73.785,11-05-2024 01:40,2024-05-11 01:40:00,2024,5,11,1,132,23.2
CWPRS campus,18.446944,73.785,11-05-2024 01:45,2024-05-11 01:45:00,2024,5,11,1,132,23.4
CWPRS campus,18.446944,73.785,11-05-2024 01:50,2024-05-11 01:50:00,2024,5,11,1,132,23.4
CWPRS campus,18.446944,73.785,11-05-2024 01:55,2024-05-11 01:55:00,2024,5,11,1,132,23.4
CWPRS campus,18.446944,73.785,11-05-2024 02:00,2024-05-11 02:00:00,2024,5,11,2,132,23.2
CWPRS campus,18.446944,73.785,11-05-2024 02:05,2024-05-11 02:05:00,2024,5,11,2,132,23.1
CWPRS campus,18.446944,73.785,11-05-2024 02:10,2024-05-11 02:10:00,2024,5,11,2,132,23.2
CWPRS campus,18.446944,73.785,11-05-2024 02:15,2024-05-11 02:15:00,2024,5,11,2,132,23.0
CWPRS campus,18.446944,73.785,11-05-2024 02:20,2024-05-11 02:20:00,2024,5,11,2,132,23.1
CWPRS campus,18.446944,73.785,11-05-2024 02:25,2024-05-11 02:25:00,2024,5,11,2,132,23.1
CWPRS campus,18.446944,73.785,11-05-2024 02:30,2024-05-11 02:30:00,2024,5,11,2,132,23.1
CWPRS campus,18.446944,73.785,11-05-2024 02:35,2024-05-11 02:35:00,2024,5,11,2,132,23.0
CWPRS campus,18.446944,73.785,11-05-2024 02:40,2024-05-11 02:40:00,2024,5,11,2,132,23.4
CWPRS campus,18.446944,73.785,11-05-2024 02:45,2024-05-11 02:45:00,2024,5,11,2,132,23.4
CWPRS campus,18.446944,73.785,11-05-2024 02:50,2024-05-11 02:50:00,2024,5,11,2,132,23.3
CWPRS campus,18.446944,73.785,11-05-2024 02:55,2024-05-11 02:55:00,2024,5,11,2,132,23.5
CWPRS campus,18.446944,73.785,11-05-2024 03:00,2024-05-11 03:00:00,2024,5,11,3,132,23.3
CWPRS campus,18.446944,73.785,11-05-2024 03:05,2024-05-11 03:05:00,2024,5,11,3,132,23.4
CWPRS campus,18.446944,73.785,11-05-2024 03:10,2024-05-11 03:10:00,2024,5,11,3,132,23.2
CWPRS campus,18.446944,73.785,11-05-2024 03:15,2024-05-11 03:15:00,2024,5,11,3,132,23.1
CWPRS campus,18.446944,73.785,11-05-2024 03:20,2024-05-11 03:20:00,2024,5,11,3,132,23.2
CWPRS campus,18.446944,73.785,11-05-2024 03:25,2024-05-11 03:25:00,2024,5,11,3,132,23.4
CWPRS campus,18.446944,73.785,11-05-2024 03:30,2024-05-11 03:30:00,2024,5,11,3,132,23.5
