station_id,sensor,common_timestamps_count,mean_deviation,median_deviation,mean_absolute_deviation,max_positive_deviation,max_negative_deviation,std_deviation
CWPRS campus,temperature,2016,-0.0479,0.0,0.3225,1.4,-5.5,0.4965
Lavale AWS,temperature,2016,0.3732,0.35,0.4357,1.95,-0.95,0.4134
Pashan AWS,temperature,2016,0.0207,0.0,0.3056,1.5,-1.5,0.4066
Shivajinagar AWS,temperature,2009,-0.3724,-0.3,0.4496,1.0,-1.9,0.4551
CWPRS campus,pressure,2016,0.3749,0.365,0.3773,0.94,-0.38,0.1808
Lavale AWS,pressure,2016,-1.0878,-1.085,1.0878,-0.075,-2.175,0.3872
Pashan AWS,pressure,2016,-0.3755,-0.37,0.3844,6.96,-1.04,0.2454
Shivajinagar AWS,pressure,2009,1.0067,1.01,1.0067,1.915,0.195,0.3001
CWPRS campus,humidity,2016,0.2224,0.1,0.9084,26.0,-3.75,1.7886
Lavale AWS,humidity,2016,-0.7952,-0.6,1.0456,2.1,-4.75,1.119
Pashan AWS,humidity,2016,-0.1432,-0.1,0.723,3.75,-3.65,0.944
Shivajinagar AWS,humidity,2009,0.9466,0.8,1.2409,5.3,-3.2,1.3125
