station_id,sensor,count,mean,std,min,25%,median,75%,max,iqr
CWPRS campus,temperature,2016,30.6113,5.0256,19.3,25.8,30.7,35.225,39.6,9.425
CWPRS campus,pressure,2016,951.7293,1.8104,948.03,950.38,951.63,952.9425,955.54,2.5625
CWPRS campus,humidity,2016,52.0261,15.7036,26.6,36.5,52.35,67.0,96.9,30.5
Lavale AWS,temperature,2016,31.0324,5.052,22.1,26.375,31.05,35.8,40.1,9.425
Lavale AWS,pressure,2016,950.2666,1.7239,946.61,948.98,950.24,951.4,954.04,2.42
Lavale AWS,humidity,2016,51.0085,15.889,24.5,35.5,51.1,66.1,78.2,30.6
Pashan AWS,temperature,2016,30.6799,5.0578,21.8,25.9,30.9,35.2,39.9,9.3
Pashan AWS,pressure,2016,950.9789,1.767,947.44,949.64,950.95,952.2125,961.95,2.5725
Pashan AWS,humidity,2016,51.6606,15.5684,25.1,36.4,51.55,66.725,77.3,30.325
Shivajinagar AWS,temperature,2009,30.2824,5.0747,21.8,25.5,30.2,35.1,39.3,9.6
Shivajinagar AWS,pressure,2009,952.3589,1.7917,948.54,951.11,952.24,953.54,956.3,2.43
Shivajinagar AWS,humidity,2009,52.7706,15.8111,27.5,37.6,52.9,68.4,81.4,30.8
