hour,temperature_mean,temperature_std,temperature_min,temperature_max,pressure_mean,pressure_std,pressure_min,pressure_max,humidity_mean,humidity_std,humidity_min,humidity_max
0,24.706,1.201,19.3,27.1,950.06,1.769,946.72,953.63,70.835,3.444,64.0,96.9
1,24.032,1.272,19.4,26.2,950.026,1.739,946.61,953.44,73.169,3.788,66.5,96.9
2,23.771,1.171,21.8,26.0,950.356,1.81,946.66,953.85,73.668,2.971,67.5,81.4
3,23.971,1.208,21.8,26.4,950.999,1.812,947.35,954.9,72.917,2.848,66.5,79.2
4,24.6,1.235,22.2,27.2,951.792,1.778,947.81,955.82,71.016,2.915,64.7,76.7
5,25.648,1.311,22.9,28.5,952.492,1.756,948.87,956.18,67.596,3.01,61.5,75.4
6,27.133,1.255,24.4,29.9,952.811,1.716,949.7,956.26,62.896,2.903,56.1,69.7
7,28.785,1.384,25.8,32.1,952.803,1.702,949.78,956.11,57.342,2.889,50.2,63.8
8,30.557,1.314,27.4,34.3,952.429,1.705,949.61,956.01,51.663,2.96,44.8,58.9
9,32.323,1.189,29.7,35.0,951.829,1.691,949.21,955.37,46.424,2.945,39.4,52.7
10,33.872,1.229,30.9,36.6,951.084,1.642,948.53,954.4,41.143,2.964,34.0,48.6
11,35.432,1.217,32.9,38.2,950.39,1.565,947.57,953.36,36.552,2.804,29.9,43.2
12,36.67,1.111,34.1,38.8,949.963,1.533,947.42,952.71,33.212,2.688,28.1,40.8
13,37.432,1.166,35.0,39.6,949.908,1.608,947.02,952.99,30.897,2.558,25.0,36.5
14,37.571,1.187,35.0,39.9,950.205,1.583,947.16,953.84,29.913,2.509,24.5,35.5
15,37.393,1.248,34.8,40.1,950.789,1.599,947.78,954.22,30.495,2.441,25.1,36.6
16,36.648,1.296,34.0,39.1,951.487,1.594,948.4,954.97,32.615,2.561,27.5,40.0
17,35.583,1.338,32.6,38.5,952.2,1.598,948.95,955.77,36.227,2.596,30.8,42.0
18,34.244,1.37,31.3,37.3,952.575,1.575,949.24,956.01,40.762,2.651,34.3,46.6
19,32.631,1.36,29.4,36.3,952.643,1.595,949.16,956.3,46.179,3.107,39.7,54.2
20,30.767,1.342,27.5,33.9,952.315,1.555,949.2,956.22,51.941,2.994,44.5,59.2
21,28.877,1.353,25.8,31.7,951.714,1.644,948.51,961.95,57.471,2.696,50.0,65.3
22,27.276,1.277,24.4,29.7,950.907,1.544,947.71,954.8,62.479,2.878,56.2,69.3
23,25.782,1.232,23.3,28.6,950.229,1.56,947.1,953.92,67.18,2.793,60.7,73.8
