feature_name,category,dtype,missing_pct,unique_values,description
day_of_week,temporal,int32,0.0,7,Day of the week (0-6)
hour_sin,temporal,float64,0.0,22,Sine encoding of hour
hour_cos,temporal,float64,0.0,22,Cosine encoding of hour
temperature_lag_1,lag,float64,0.05,189,Value of temperature 1 steps ago
temperature_delta_1,delta,float64,0.05,40,Difference in temperature compared to 1 steps ago
temperature_lag_3,lag,float64,0.15,189,Value of temperature 3 steps ago
temperature_delta_3,delta,float64,0.15,83,Difference in temperature compared to 3 steps ago
pressure_lag_1,lag,float64,0.05,922,Value of pressure 1 steps ago
pressure_delta_1,delta,float64,0.05,118,Difference in pressure compared to 1 steps ago
pressure_lag_3,lag,float64,0.15,922,Value of pressure 3 steps ago
pressure_delta_3,delta,float64,0.15,216,Difference in pressure compared to 3 steps ago
humidity_lag_1,lag,float64,0.05,559,Value of humidity 1 steps ago
humidity_delta_1,delta,float64,0.05,118,Difference in humidity compared to 1 steps ago
humidity_lag_3,lag,float64,0.15,559,Value of humidity 3 steps ago
humidity_delta_3,delta,float64,0.15,230,Difference in humidity compared to 3 steps ago
temperature_roll_mean_6,rolling,float64,0.15,1739,Rolling mean of temperature over 6 steps prior
temperature_roll_std_6,rolling,float64,0.15,7666,Rolling std of temperature over 6 steps prior
temperature_roll_min_6,rolling,float64,0.15,184,Rolling min of temperature over 6 steps prior
temperature_roll_max_6,rolling,float64,0.15,184,Rolling max of temperature over 6 steps prior
temperature_dev_roll_mean_6,baseline_deviation,float64,0.15,545,Absolute deviation from 6-step rolling mean
temperature_zscore_roll_6,baseline_deviation,float64,0.15,7914,Z-score deviation from 6-step rolling distribution
temperature_roll_mean_24,rolling,float64,0.6,4459,Rolling mean of temperature over 24 steps prior
temperature_roll_std_24,rolling,float64,0.6,7924,Rolling std of temperature over 24 steps prior
temperature_roll_min_24,rolling,float64,0.6,179,Rolling min of temperature over 24 steps prior
temperature_roll_max_24,rolling,float64,0.6,177,Rolling max of temperature over 24 steps prior
temperature_dev_roll_mean_24,baseline_deviation,float64,0.6,3243,Absolute deviation from 24-step rolling mean
temperature_zscore_roll_24,baseline_deviation,float64,0.6,7988,Z-score deviation from 24-step rolling distribution
pressure_roll_mean_6,rolling,float64,0.15,4791,Rolling mean of pressure over 6 steps prior
pressure_roll_std_6,rolling,float64,0.15,7966,Rolling std of pressure over 6 steps prior
pressure_roll_min_6,rolling,float64,0.15,857,Rolling min of pressure over 6 steps prior
pressure_roll_max_6,rolling,float64,0.15,857,Rolling max of pressure over 6 steps prior
pressure_dev_roll_mean_6,baseline_deviation,float64,0.15,1655,Absolute deviation from 6-step rolling mean
pressure_zscore_roll_6,baseline_deviation,float64,0.15,8034,Z-score deviation from 6-step rolling distribution
pressure_roll_mean_24,rolling,float64,0.6,6860,Rolling mean of pressure over 24 steps prior
pressure_roll_std_24,rolling,float64,0.6,7991,Rolling std of pressure over 24 steps prior
pressure_roll_min_24,rolling,float64,0.6,810,Rolling min of pressure over 24 steps prior
pressure_roll_max_24,rolling,float64,0.6,818,Rolling max of pressure over 24 steps prior
